n_ensayo,suma,n,value,peso
7530,28,6,0.0687,1.9236
8952,28,6,0.0687,1.9236
983,23,5,0.0825,1.8975000000000002
1318,23,5,0.0825,1.8975000000000002
2447,23,5,0.0825,1.8975000000000002
3593,23,5,0.0825,1.8975000000000002
5515,23,5,0.0825,1.8975000000000002
6985,23,5,0.0825,1.8975000000000002
9617,23,5,0.0825,1.8975000000000002
5193,42,8,0.0447,1.8774
2468,27,6,0.0687,1.8549
2474,27,6,0.0687,1.8549
3025,27,6,0.0687,1.8549
3427,27,6,0.0687,1.8549
3444,27,6,0.0687,1.8549
6694,27,6,0.0687,1.8549
7085,27,6,0.0687,1.8549
9812,27,6,0.0687,1.8549
957,34,7,0.054,1.836
1382,22,5,0.0825,1.8150000000000002
2833,22,5,0.0825,1.8150000000000002
2905,22,5,0.0825,1.8150000000000002
3499,22,5,0.0825,1.8150000000000002
5375,22,5,0.0825,1.8150000000000002
6671,22,5,0.0825,1.8150000000000002
6918,22,5,0.0825,1.8150000000000002
8343,22,5,0.0825,1.8150000000000002
9035,22,5,0.0825,1.8150000000000002
9150,22,5,0.0825,1.8150000000000002
9303,22,5,0.0825,1.8150000000000002
9679,22,5,0.0825,1.8150000000000002
245,26,6,0.0687,1.7862
629,26,6,0.0687,1.7862
869,26,6,0.0687,1.7862
2618,26,6,0.0687,1.7862
3683,26,6,0.0687,1.7862
3896,26,6,0.0687,1.7862
4155,26,6,0.0687,1.7862
5824,26,6,0.0687,1.7862
5891,26,6,0.0687,1.7862
7056,26,6,0.0687,1.7862
7256,26,6,0.0687,1.7862
8036,26,6,0.0687,1.7862
8073,26,6,0.0687,1.7862
8417,26,6,0.0687,1.7862
8994,26,6,0.0687,1.7862
9000,26,6,0.0687,1.7862
9657,26,6,0.0687,1.7862
9708,26,6,0.0687,1.7862
8869,39,8,0.0447,1.7432999999999998
15,21,5,0.0825,1.7325000000000002
504,21,5,0.0825,1.7325000000000002
558,21,5,0.0825,1.7325000000000002
1182,21,5,0.0825,1.7325000000000002
1704,21,5,0.0825,1.7325000000000002
2648,21,5,0.0825,1.7325000000000002
2864,21,5,0.0825,1.7325000000000002
3027,21,5,0.0825,1.7325000000000002
3048,21,5,0.0825,1.7325000000000002
3121,21,5,0.0825,1.7325000000000002
4206,21,5,0.0825,1.7325000000000002
4410,21,5,0.0825,1.7325000000000002
4542,21,5,0.0825,1.7325000000000002
4774,21,5,0.0825,1.7325000000000002
5245,21,5,0.0825,1.7325000000000002
5246,21,5,0.0825,1.7325000000000002
5844,21,5,0.0825,1.7325000000000002
6516,21,5,0.0825,1.7325000000000002
6582,21,5,0.0825,1.7325000000000002
6792,21,5,0.0825,1.7325000000000002
7651,21,5,0.0825,1.7325000000000002
8314,21,5,0.0825,1.7325000000000002
8517,21,5,0.0825,1.7325000000000002
8552,21,5,0.0825,1.7325000000000002
8618,21,5,0.0825,1.7325000000000002
9085,21,5,0.0825,1.7325000000000002
9674,21,5,0.0825,1.7325000000000002
45,32,7,0.054,1.728
2471,32,7,0.054,1.728
3654,32,7,0.054,1.728
5389,32,7,0.054,1.728
7270,32,7,0.054,1.728
7304,32,7,0.054,1.728
7654,32,7,0.054,1.728
9147,32,7,0.054,1.728
9278,32,7,0.054,1.728
717,25,6,0.0687,1.7175
847,25,6,0.0687,1.7175
1134,25,6,0.0687,1.7175
1281,25,6,0.0687,1.7175
1367,25,6,0.0687,1.7175
1536,25,6,0.0687,1.7175
1924,25,6,0.0687,1.7175
2505,25,6,0.0687,1.7175
3269,25,6,0.0687,1.7175
3375,25,6,0.0687,1.7175
3399,25,6,0.0687,1.7175
3615,25,6,0.0687,1.7175
3739,25,6,0.0687,1.7175
3742,25,6,0.0687,1.7175
3778,25,6,0.0687,1.7175
3999,25,6,0.0687,1.7175
4579,25,6,0.0687,1.7175
4593,25,6,0.0687,1.7175
4609,25,6,0.0687,1.7175
4975,25,6,0.0687,1.7175
4999,25,6,0.0687,1.7175
5431,25,6,0.0687,1.7175
6086,25,6,0.0687,1.7175
6201,25,6,0.0687,1.7175
6259,25,6,0.0687,1.7175
8841,25,6,0.0687,1.7175
8926,25,6,0.0687,1.7175
9748,25,6,0.0687,1.7175
9882,25,6,0.0687,1.7175
6682,38,8,0.0447,1.6985999999999999
1053,18,4,0.0934,1.6812
1076,18,4,0.0934,1.6812
1451,18,4,0.0934,1.6812
2523,18,4,0.0934,1.6812
2540,18,4,0.0934,1.6812
2736,18,4,0.0934,1.6812
5020,18,4,0.0934,1.6812
6777,18,4,0.0934,1.6812
7179,18,4,0.0934,1.6812
7630,18,4,0.0934,1.6812
7919,18,4,0.0934,1.6812
9649,18,4,0.0934,1.6812
1738,31,7,0.054,1.674
3704,31,7,0.054,1.674
3946,31,7,0.054,1.674
6775,31,7,0.054,1.674
7881,31,7,0.054,1.674
7903,31,7,0.054,1.674
9223,31,7,0.054,1.674
9324,31,7,0.054,1.674
2096,37,8,0.0447,1.6539
3535,37,8,0.0447,1.6539
6336,37,8,0.0447,1.6539
151,20,5,0.0825,1.6500000000000001
212,20,5,0.0825,1.6500000000000001
692,20,5,0.0825,1.6500000000000001
1122,20,5,0.0825,1.6500000000000001
1143,20,5,0.0825,1.6500000000000001
1256,20,5,0.0825,1.6500000000000001
1435,20,5,0.0825,1.6500000000000001
1728,20,5,0.0825,1.6500000000000001
1755,20,5,0.0825,1.6500000000000001
1935,20,5,0.0825,1.6500000000000001
3477,20,5,0.0825,1.6500000000000001
3592,20,5,0.0825,1.6500000000000001
3873,20,5,0.0825,1.6500000000000001
3885,20,5,0.0825,1.6500000000000001
3902,20,5,0.0825,1.6500000000000001
3926,20,5,0.0825,1.6500000000000001
3975,20,5,0.0825,1.6500000000000001
4296,20,5,0.0825,1.6500000000000001
4468,20,5,0.0825,1.6500000000000001
4734,20,5,0.0825,1.6500000000000001
4878,20,5,0.0825,1.6500000000000001
4886,20,5,0.0825,1.6500000000000001
4918,20,5,0.0825,1.6500000000000001
4924,20,5,0.0825,1.6500000000000001
4987,20,5,0.0825,1.6500000000000001
5048,20,5,0.0825,1.6500000000000001
5129,20,5,0.0825,1.6500000000000001
5197,20,5,0.0825,1.6500000000000001
5255,20,5,0.0825,1.6500000000000001
5393,20,5,0.0825,1.6500000000000001
5434,20,5,0.0825,1.6500000000000001
5490,20,5,0.0825,1.6500000000000001
5648,20,5,0.0825,1.6500000000000001
5881,20,5,0.0825,1.6500000000000001
6169,20,5,0.0825,1.6500000000000001
6959,20,5,0.0825,1.6500000000000001
7286,20,5,0.0825,1.6500000000000001
7938,20,5,0.0825,1.6500000000000001
7981,20,5,0.0825,1.6500000000000001
8029,20,5,0.0825,1.6500000000000001
8043,20,5,0.0825,1.6500000000000001
8218,20,5,0.0825,1.6500000000000001
8701,20,5,0.0825,1.6500000000000001
8928,20,5,0.0825,1.6500000000000001
9155,20,5,0.0825,1.6500000000000001
9206,20,5,0.0825,1.6500000000000001
9318,20,5,0.0825,1.6500000000000001
71,24,6,0.0687,1.6488
196,24,6,0.0687,1.6488
237,24,6,0.0687,1.6488
422,24,6,0.0687,1.6488
587,24,6,0.0687,1.6488
667,24,6,0.0687,1.6488
746,24,6,0.0687,1.6488
1011,24,6,0.0687,1.6488
1119,24,6,0.0687,1.6488
1567,24,6,0.0687,1.6488
1940,24,6,0.0687,1.6488
2017,24,6,0.0687,1.6488
2079,24,6,0.0687,1.6488
2133,24,6,0.0687,1.6488
2631,24,6,0.0687,1.6488
2711,24,6,0.0687,1.6488
2713,24,6,0.0687,1.6488
2755,24,6,0.0687,1.6488
4226,24,6,0.0687,1.6488
4359,24,6,0.0687,1.6488
4482,24,6,0.0687,1.6488
4525,24,6,0.0687,1.6488
4788,24,6,0.0687,1.6488
4805,24,6,0.0687,1.6488
4852,24,6,0.0687,1.6488
4905,24,6,0.0687,1.6488
4995,24,6,0.0687,1.6488
5152,24,6,0.0687,1.6488
5701,24,6,0.0687,1.6488
5747,24,6,0.0687,1.6488
5794,24,6,0.0687,1.6488
5857,24,6,0.0687,1.6488
5976,24,6,0.0687,1.6488
6242,24,6,0.0687,1.6488
6896,24,6,0.0687,1.6488
7165,24,6,0.0687,1.6488
7241,24,6,0.0687,1.6488
7593,24,6,0.0687,1.6488
7774,24,6,0.0687,1.6488
7952,24,6,0.0687,1.6488
7988,24,6,0.0687,1.6488
8220,24,6,0.0687,1.6488
8630,24,6,0.0687,1.6488
8894,24,6,0.0687,1.6488
3820,48,10,0.0338,1.6223999999999998
1280,30,7,0.054,1.6199999999999999
2110,30,7,0.054,1.6199999999999999
2226,30,7,0.054,1.6199999999999999
2644,30,7,0.054,1.6199999999999999
3608,30,7,0.054,1.6199999999999999
4694,30,7,0.054,1.6199999999999999
4923,30,7,0.054,1.6199999999999999
5334,30,7,0.054,1.6199999999999999
6412,30,7,0.054,1.6199999999999999
7222,30,7,0.054,1.6199999999999999
7442,30,7,0.054,1.6199999999999999
8278,30,7,0.054,1.6199999999999999
3642,43,9,0.0376,1.6168
